fieldOfStudy,title,inCitations,year
Medicine,Clinical or Industrial Pharmacy? Case Studies of Hospital Pharmacy Automation in Canada and France,10,1998
Medicine,Noncoronary and coronary atherothrombotic plaque imaging and monitoring of therapy by MRI.,16,2002
Computer Science,Fully convolutional architecture vs sliding-window CNN for corneal endothelium cell segmentation,11,2019
Medicine,Technologies for Detecting Falsified and Substandard Drugs in Low and Middle-Income Countries,73,2014
Materials Science,Effects of annealing temperature on the structure and static magnetic properties of NiZnCo ferrite thin films,11,2014
Medicine,Mutation screening in non-syndromic hearing loss patients with cochlear implantation by massive parallel sequencing in Taiwan,5,2019
Computer Science,Analysis of H.264/AVC Fidelity Range Extension,0,2005
Medicine,"Pamidronic acid and cabergoline as effective long-term therapy in a 12-year-old girl with extended facial polyostotic fibrous dysplasia, prolactinoma and acromegaly in McCune-Albright syndrome: a case report",13,2012
Medicine,Surgical management and outcome of skeletal metastatic disease of the humerus.,9,2014
Physics,A high resolution measurement of temperature anisotropies in the cosmic microwave background radiation with the complete ACBAR data set,1,2008
